Hotel,Review,Rating,Rating Category
Ritz Carlton,Then options of Vegetarian Food.,9.0,Positive
Ritz Carlton,View over marina bay sands from the room was simply amazing. Club lounge great- food very good and lots of it. Staff very friendly and helpful generally. Colony restaurant is amazing,8.0,Positive
Ritz Carlton,"I was travelling with 2 elderly members and we had a late check-in (at almost midnight). The hotel staffs proactively communicated in advance regarding our special needs. Foods were provided as requested even tho they were not available on the hotel menu. Wheelchair was provided during the check-in as requested.
And, we also got free upgrade to the Suite room :)",10.0,Positive
Ritz Carlton,"Very trendy, clean and classy hotel with very welcoming and helpful staff specially ANNA from guest relations",8.0,Positive
Ritz Carlton,Staff was so friendly,10.0,Positive
Ritz Carlton,"The ambience, the decor. The size of the room n Cleanliness. All of the hotel staff was welcoming and friendly. The in room dining was so good, too.",10.0,Positive
Ritz Carlton,"Luxurious, clean, fantastic staff and excellent location.",10.0,Positive
Ritz Carlton,"Friendly staff, very clean and well appointed eeom",10.0,Positive
Ritz Carlton,"…everything was so amazing. We had club lounge access and it was absolutely worth it. Wonderful food and lovely drinks. It even improved since I was there before Covid. I remember lively Peter who treated us so nicely - but it’s so unfair because everybody was so sweet and made us feel at home. 
what I liked is that it was very quiet and decent in the club lodge and no kids running around and screaming. Also not overcrowded or annoying guests￼ - that makes a stay really memorable
Thank you!..￼",10.0,Positive
Ritz Carlton,Executive Lounge facilities second to none,9.0,Positive
Ritz Carlton,"Early breakfast at 6 am was ready for the early check out guest
View fro the room was amazing",10.0,Positive
Ritz Carlton,Amazing breakfast; perfect location with a perfect view to Marina Bay. Very close to some of the most important sightseeing spots.,10.0,Positive
Ritz Carlton,Everything is exceptional about this property! Prakash from Front Desk goes well and beyond. He is a superstar!,10.0,Positive
Ritz Carlton,"It was a luxurious feeling hotel. Everything was super clean, staff was well presented and super helpful at check in. Everything was explained well to us.",10.0,Positive
Ritz Carlton,Everything.  The service was faultless.,10.0,Positive
Ritz Carlton,"Very central, clean and superbly organised.",8.0,Positive
Ritz Carlton,"Good location, quite, friendly staff",8.0,Positive
Ritz Carlton,The View was very good but in my booking i did ask for a high rise room.,8.0,Positive
Ritz Carlton,Everything,10.0,Positive
Ritz Carlton,Staff was so friendly,10.0,Positive
Ritz Carlton,"The ambience, the decor. The size of the room n Cleanliness. All of the hotel staff was welcoming and friendly. The in room dining was so good, too.",10.0,Positive
Ritz Carlton,"Luxurious, clean, fantastic staff and excellent location.",10.0,Positive
Ritz Carlton,"Friendly staff, very clean and well appointed eeom",10.0,Positive
Ritz Carlton,"…everything was so amazing. We had club lounge access and it was absolutely worth it. Wonderful food and lovely drinks. It even improved since I was there before Covid. I remember lively Peter who treated us so nicely - but it’s so unfair because everybody was so sweet and made us feel at home. 
what I liked is that it was very quiet and decent in the club lodge and no kids running around and screaming. Also not overcrowded or annoying guests￼ - that makes a stay really memorable
Thank you!..￼",10.0,Positive
Ritz Carlton,Executive Lounge facilities second to none,9.0,Positive
Ritz Carlton,"Early breakfast at 6 am was ready for the early check out guest
View fro the room was amazing",10.0,Positive
Ritz Carlton,Amazing breakfast; perfect location with a perfect view to Marina Bay. Very close to some of the most important sightseeing spots.,10.0,Positive
Ritz Carlton,Everything is exceptional about this property! Prakash from Front Desk goes well and beyond. He is a superstar!,10.0,Positive
Ritz Carlton,"It was a luxurious feeling hotel. Everything was super clean, staff was well presented and super helpful at check in. Everything was explained well to us.",10.0,Positive
Ritz Carlton,Everything.  The service was faultless.,10.0,Positive
Ritz Carlton,"Very central, clean and superbly organised.",8.0,Positive
Ritz Carlton,"Good location, quite, friendly staff",8.0,Positive
Ritz Carlton,The View was very good but in my booking i did ask for a high rise room.,8.0,Positive
Ritz Carlton,Everything,10.0,Positive
Ritz Carlton,facilites and service are good.,9.0,Positive
Ritz Carlton,The view from my room 1118 was amazing.,9.0,Positive
Ritz Carlton,Food and service where amazing! Need to improve cleaning services at room and made renovations as room Ned to be upgraded based on the rates,10.0,Positive
Ritz Carlton,"Amazing views of the harbour 
Staff very friendly 
Location great",9.0,Positive
Ritz Carlton,Everything,10.0,Positive
Ritz Carlton,"Great facilities.
Caring helpful staff
Poolside staff were exceptional- wonderful service.",8.0,Positive
Ritz Carlton,"Everything was perfect. Thousands thanks to Erna from the reception desk!
The room was very nice, with a great view to the Marina bay. The hotel is well located.
Large choice of food for breakfast. Cocktail at the bar is also a must to try !",10.0,Positive
Ritz Carlton,It’s convenient and we love the room design,9.0,Positive
Ritz Carlton,The manager upgraded us to nice view room after our comment on the room condition we have checked in. The location of the hotel was so convenient.,8.0,Positive
Ritz Carlton,Prompt and efficient,8.0,Positive
Ritz Carlton,Everything.  The service was faultless.,10.0,Positive
Ritz Carlton,"Very central, clean and superbly organised.",8.0,Positive
Ritz Carlton,"Good location, quite, friendly staff",8.0,Positive
Ritz Carlton,The View was very good but in my booking i did ask for a high rise room.,8.0,Positive
Ritz Carlton,Everything,10.0,Positive
Ritz Carlton,facilites and service are good.,9.0,Positive
Ritz Carlton,The view from my room 1118 was amazing.,9.0,Positive
Ritz Carlton,Food and service where amazing! Need to improve cleaning services at room and made renovations as room Ned to be upgraded based on the rates,10.0,Positive
Ritz Carlton,"Amazing views of the harbour 
Staff very friendly 
Location great",9.0,Positive
Ritz Carlton,Everything,10.0,Positive
Ritz Carlton,"Great facilities.
Caring helpful staff
Poolside staff were exceptional- wonderful service.",8.0,Positive
Ritz Carlton,"Everything was perfect. Thousands thanks to Erna from the reception desk!
The room was very nice, with a great view to the Marina bay. The hotel is well located.
Large choice of food for breakfast. Cocktail at the bar is also a must to try !",10.0,Positive
Ritz Carlton,It’s convenient and we love the room design,9.0,Positive
Ritz Carlton,The manager upgraded us to nice view room after our comment on the room condition we have checked in. The location of the hotel was so convenient.,8.0,Positive
Ritz Carlton,Prompt and efficient,8.0,Positive
Ritz Carlton,the service waa tiptop!,10.0,Positive
Ritz Carlton,"All as the picture , so comfortable n good .",8.0,Positive
Ritz Carlton,"Beautiful panoramic views of the landmarks + a spacious suite. we especially loved the view from the bathtub ! The staff inquired in advance about us coming with our child, and prepared surprise sweets to welcome her. As it was her birthday, they also arranged balloons, cake and our family photo. The hotel overall is very kids friendly. We enjoyed the pool as well, also with very helpful and courteous staff.",10.0,Positive
Ritz Carlton,"The club lounge check in was fabulous after a long journey not having to wait in a que to check in.
All staff of the club lounge were impeccable. The spa and pool facilities were excellent clean neat and in great working order. Staff working in all levels of the Hotel were kind and courteous.",10.0,Positive
Ritz Carlton,Good location.,10.0,Positive
Ritz Carlton,"The bathroom facilities are insufficient and the water flow is very slow when taking a shower, causing the room to flood.😓😓",10.0,Positive
Ritz Carlton,"Location-location-location, you need to pay more for a view, but it also worth it 100%. Staff is super friendly and helpful. Indoors the hotel is beautiful and luxurious.",8.0,Positive
Ritz Carlton,The pool is beautiful.,8.0,Positive
Ritz Carlton,"Amazing view
Cozy room
Nice breakfast",10.0,Positive
Ritz Carlton,view is fantastic,8.0,Positive
Ritz Carlton,"Great facilities.
Caring helpful staff
Poolside staff were exceptional- wonderful service.",8.0,Positive
Ritz Carlton,"Everything was perfect. Thousands thanks to Erna from the reception desk!
The room was very nice, with a great view to the Marina bay. The hotel is well located.
Large choice of food for breakfast. Cocktail at the bar is also a must to try !",10.0,Positive
Ritz Carlton,It’s convenient and we love the room design,9.0,Positive
Ritz Carlton,The manager upgraded us to nice view room after our comment on the room condition we have checked in. The location of the hotel was so convenient.,8.0,Positive
Ritz Carlton,Prompt and efficient,8.0,Positive
Ritz Carlton,the service waa tiptop!,10.0,Positive
Ritz Carlton,"All as the picture , so comfortable n good .",8.0,Positive
Ritz Carlton,"Beautiful panoramic views of the landmarks + a spacious suite. we especially loved the view from the bathtub ! The staff inquired in advance about us coming with our child, and prepared surprise sweets to welcome her. As it was her birthday, they also arranged balloons, cake and our family photo. The hotel overall is very kids friendly. We enjoyed the pool as well, also with very helpful and courteous staff.",10.0,Positive
Ritz Carlton,"The club lounge check in was fabulous after a long journey not having to wait in a que to check in.
All staff of the club lounge were impeccable. The spa and pool facilities were excellent clean neat and in great working order. Staff working in all levels of the Hotel were kind and courteous.",10.0,Positive
Ritz Carlton,Good location.,10.0,Positive
Ritz Carlton,"The bathroom facilities are insufficient and the water flow is very slow when taking a shower, causing the room to flood.😓😓",10.0,Positive
Ritz Carlton,"Location-location-location, you need to pay more for a view, but it also worth it 100%. Staff is super friendly and helpful. Indoors the hotel is beautiful and luxurious.",8.0,Positive
Ritz Carlton,The pool is beautiful.,8.0,Positive
Ritz Carlton,"Amazing view
Cozy room
Nice breakfast",10.0,Positive
Ritz Carlton,view is fantastic,8.0,Positive
Ritz Carlton,"This was truly the most exceptional hotel experience we have ever had. Every staff member was warm, welcoming, personable and went above and beyond for our stay. So much so that we have canceled future bookings at other hotels to stay here. Can’t rate the experience high enough.",10.0,Positive
Ritz Carlton,It has nice view and the room condition was clean and new,10.0,Positive
Ritz Carlton,The room size is good and we do enjoy our stay during National Day with that spectacular view of the firework.,9.0,Positive
Ritz Carlton,Great,8.0,Positive
Ritz Carlton,the staff is very friendly and nice,9.0,Positive
Ritz Carlton,"The hotel staff requested photos of our recent wedding, we were on our honeymoon, and printed them for us and displayed them in the room.",9.0,Positive
Ritz Carlton,"Incredible view, perfect soundproofing. The Chinese restaurant is excellent and good value.",10.0,Positive
Ritz Carlton,The spacious n the excellent services,8.0,Positive
Ritz Carlton,"The arrival experience was excellent, clear details provided about the facilities, smooth and efficient service by staff. The room was beautiful with amazing views! Thank you for a fantastic base to explore Singapore.",10.0,Positive
Ritz Carlton,The bathroom water sewage was abit stuck.,8.0,Positive
Ritz Carlton,"The bathroom facilities are insufficient and the water flow is very slow when taking a shower, causing the room to flood.😓😓",10.0,Positive
Ritz Carlton,"Location-location-location, you need to pay more for a view, but it also worth it 100%. Staff is super friendly and helpful. Indoors the hotel is beautiful and luxurious.",8.0,Positive
Ritz Carlton,The pool is beautiful.,8.0,Positive
Ritz Carlton,"Amazing view
Cozy room
Nice breakfast",10.0,Positive
Ritz Carlton,view is fantastic,8.0,Positive
Ritz Carlton,"This was truly the most exceptional hotel experience we have ever had. Every staff member was warm, welcoming, personable and went above and beyond for our stay. So much so that we have canceled future bookings at other hotels to stay here. Can’t rate the experience high enough.",10.0,Positive
Ritz Carlton,It has nice view and the room condition was clean and new,10.0,Positive
Ritz Carlton,The room size is good and we do enjoy our stay during National Day with that spectacular view of the firework.,9.0,Positive
Ritz Carlton,Great,8.0,Positive
Ritz Carlton,the staff is very friendly and nice,9.0,Positive
Ritz Carlton,"The hotel staff requested photos of our recent wedding, we were on our honeymoon, and printed them for us and displayed them in the room.",9.0,Positive
Ritz Carlton,"Incredible view, perfect soundproofing. The Chinese restaurant is excellent and good value.",10.0,Positive
Ritz Carlton,The spacious n the excellent services,8.0,Positive
Ritz Carlton,"The arrival experience was excellent, clear details provided about the facilities, smooth and efficient service by staff. The room was beautiful with amazing views! Thank you for a fantastic base to explore Singapore.",10.0,Positive
Ritz Carlton,The bathroom water sewage was abit stuck.,8.0,Positive
Ritz Carlton,Everything,10.0,Positive
Ritz Carlton,location and room size,10.0,Positive
Ritz Carlton,Excellent service.,10.0,Positive
Ritz Carlton,The view,10.0,Positive
Ritz Carlton,"The breakfast was the best hotel breakfast I've had! So delicous. 
Really comfortable stay! Beautiful big, clean rooms. Nice bath and bathroom overall. Comfortable bed and pillows. 
The location. Attached to a mall. Easy walk across to the Marina gardens/mall/that area.
Really kind and helpful hotel staff.",10.0,Positive
Ritz Carlton,The views,9.0,Positive
Ritz Carlton,"The room was amazing, very huge and comfortable with outstanding views. Bathroom was awesome too",9.0,Positive
Ritz Carlton,"Overall, it's a beautiful hotel with great rooms. We loved the view from the bathtub. Staycation was great. The check-in process was smooth. All the amenities are top quality and the housekeeping service was very quick to respond. The staffs were great and heartwarming during our stay.",10.0,Positive
Ritz Carlton,Staff location fabulous,10.0,Positive
Ritz Carlton,"Can’t fault the room. Great size, great bathroom, amazing view of MBS, good amenities and very comfy bed. Most staff were very pleasant and I was left lovely notes on a couple of occasions.",8.0,Positive
Ritz Carlton,"The hotel staff requested photos of our recent wedding, we were on our honeymoon, and printed them for us and displayed them in the room.",9.0,Positive
Ritz Carlton,"Incredible view, perfect soundproofing. The Chinese restaurant is excellent and good value.",10.0,Positive
Ritz Carlton,The spacious n the excellent services,8.0,Positive
Ritz Carlton,"The arrival experience was excellent, clear details provided about the facilities, smooth and efficient service by staff. The room was beautiful with amazing views! Thank you for a fantastic base to explore Singapore.",10.0,Positive
Ritz Carlton,The bathroom water sewage was abit stuck.,8.0,Positive
Ritz Carlton,Everything,10.0,Positive
Ritz Carlton,location and room size,10.0,Positive
Ritz Carlton,Excellent service.,10.0,Positive
Ritz Carlton,The view,10.0,Positive
Ritz Carlton,"The breakfast was the best hotel breakfast I've had! So delicous. 
Really comfortable stay! Beautiful big, clean rooms. Nice bath and bathroom overall. Comfortable bed and pillows. 
The location. Attached to a mall. Easy walk across to the Marina gardens/mall/that area.
Really kind and helpful hotel staff.",10.0,Positive
Ritz Carlton,The views,9.0,Positive
Ritz Carlton,"The room was amazing, very huge and comfortable with outstanding views. Bathroom was awesome too",9.0,Positive
Ritz Carlton,"Overall, it's a beautiful hotel with great rooms. We loved the view from the bathtub. Staycation was great. The check-in process was smooth. All the amenities are top quality and the housekeeping service was very quick to respond. The staffs were great and heartwarming during our stay.",10.0,Positive
Ritz Carlton,Staff location fabulous,10.0,Positive
Ritz Carlton,"Can’t fault the room. Great size, great bathroom, amazing view of MBS, good amenities and very comfy bed. Most staff were very pleasant and I was left lovely notes on a couple of occasions.",8.0,Positive
Ritz Carlton,"Classy, “old money” very grand, amazing views from my room, good service",9.0,Positive
Ritz Carlton,Everything ok,10.0,Positive
Ritz Carlton,"The location
Not as crowded as MBS, but still close if still want to spend time at MBS",9.0,Positive
Ritz Carlton,Spy and wellness facility it is a bit old and in an average condition,9.0,Positive
Ritz Carlton,"Staff were incredible and the service is sublime. They really make you feel like you’re the only guests in the hotel, very attentive.",10.0,Positive
Ritz Carlton,"Very nice hotel, best locaion (1 km to Merlion, and not so far from Garden by the bay and many shopping centers, 300m. to Promenade metro)
Kind and service-mind staff (unexpected complimentary cake for my mom's BD and mine in 2 consecutive days, how caring of them!), very nice view from the room and super comfortable bed.
Me and my mom had a great time there. Hope to be back again if possible. Worth to pay for every single night.",10.0,Positive
Ritz Carlton,"The location, facilities and service was amazing.  The property is very well kept.",10.0,Positive
Ritz Carlton,This review has been hidden because it doesn't meet our guidelines.,10.0,Positive
Ritz Carlton,everything,10.0,Positive
Ritz Carlton,"The staff at the bar, both the republic and the living room were very good. 
The staff at breakfast was very thoughtful ensuring my tea was hot.",8.0,Positive
Ritz Carlton,The views,9.0,Positive
Ritz Carlton,"The room was amazing, very huge and comfortable with outstanding views. Bathroom was awesome too",9.0,Positive
Ritz Carlton,"Overall, it's a beautiful hotel with great rooms. We loved the view from the bathtub. Staycation was great. The check-in process was smooth. All the amenities are top quality and the housekeeping service was very quick to respond. The staffs were great and heartwarming during our stay.",10.0,Positive
Ritz Carlton,Staff location fabulous,10.0,Positive
Ritz Carlton,"Can’t fault the room. Great size, great bathroom, amazing view of MBS, good amenities and very comfy bed. Most staff were very pleasant and I was left lovely notes on a couple of occasions.",8.0,Positive
Ritz Carlton,"Classy, “old money” very grand, amazing views from my room, good service",9.0,Positive
Ritz Carlton,Everything ok,10.0,Positive
Ritz Carlton,"The location
Not as crowded as MBS, but still close if still want to spend time at MBS",9.0,Positive
Ritz Carlton,Spy and wellness facility it is a bit old and in an average condition,9.0,Positive
Ritz Carlton,"Staff were incredible and the service is sublime. They really make you feel like you’re the only guests in the hotel, very attentive.",10.0,Positive
Ritz Carlton,"Very nice hotel, best locaion (1 km to Merlion, and not so far from Garden by the bay and many shopping centers, 300m. to Promenade metro)
Kind and service-mind staff (unexpected complimentary cake for my mom's BD and mine in 2 consecutive days, how caring of them!), very nice view from the room and super comfortable bed.
Me and my mom had a great time there. Hope to be back again if possible. Worth to pay for every single night.",10.0,Positive
Ritz Carlton,"The location, facilities and service was amazing.  The property is very well kept.",10.0,Positive
Ritz Carlton,This review has been hidden because it doesn't meet our guidelines.,10.0,Positive
Ritz Carlton,everything,10.0,Positive
Ritz Carlton,"The staff at the bar, both the republic and the living room were very good. 
The staff at breakfast was very thoughtful ensuring my tea was hot.",8.0,Positive
Ritz Carlton,"Amazing view of the bay & was able to watch the nightly laser show.  Staff all very helpful, and room was more spacious than I though it would be!  Pool was large, important for cooling off in the hot & humid weather.  Gym facilities & yoga room were excellent for those early mornings I couldn't sleep due to jet lag.",10.0,Positive
Ritz Carlton,View was stunning looking over Marina Bay. Room was well presented and very comfortable.  The breakfast was huge and delicious.,9.0,Positive
Ritz Carlton,NA,10.0,Positive
Ritz Carlton,"We opted for a Marina Bay view room  and it was fabulous!! The room was huge with every amenity and the bed was super comfy. The bathroom had a huge soaking tub, where even the bath crystals were supplied for that luxury experience. Free bottled water was also included in the room. The staff were extremely friendly and helpful. They helped us with transportation and gave us tips on where to visit. The breakfast included in our room price was out of this world! Everything from pancakes, waffles, cereals, breads and every hot dish you could imagine. We would definitely stay again if in Singapore, as the location is close to the Marina with lots of attractions and dining options.",9.0,Positive
Ritz Carlton,View was excellent; as was the breakfast; as was the hospitality of the staff; room was superb too!,10.0,Positive
Ritz Carlton,"Amazing staff, with absolutely ama",10.0,Positive
Ritz Carlton,Service and staff.. exceptional service from getting out of the car to getting back in. I am glad I stayed here.,10.0,Positive
Ritz Carlton,"the staff were impressive! specially Luis from the swim pool staff and a local chef that made me some of best omelet I have ever eaten his name was with the letter D abut I cannot remember the rest! I am sorry.
clean and smart and extremely approachable.",9.0,Positive
Ritz Carlton,"the comfort
the luxury
the prestige",9.0,Positive
Ritz Carlton,"Very nice place, good location and personal",8.0,Positive
Ritz Carlton,"Very nice hotel, best locaion (1 km to Merlion, and not so far from Garden by the bay and many shopping centers, 300m. to Promenade metro)
Kind and service-mind staff (unexpected complimentary cake for my mom's BD and mine in 2 consecutive days, how caring of them!), very nice view from the room and super comfortable bed.
Me and my mom had a great time there. Hope to be back again if possible. Worth to pay for every single night.",10.0,Positive
Ritz Carlton,"The location, facilities and service was amazing.  The property is very well kept.",10.0,Positive
Ritz Carlton,This review has been hidden because it doesn't meet our guidelines.,10.0,Positive
Ritz Carlton,everything,10.0,Positive
Ritz Carlton,"The staff at the bar, both the republic and the living room were very good. 
The staff at breakfast was very thoughtful ensuring my tea was hot.",8.0,Positive
Ritz Carlton,"Amazing view of the bay & was able to watch the nightly laser show.  Staff all very helpful, and room was more spacious than I though it would be!  Pool was large, important for cooling off in the hot & humid weather.  Gym facilities & yoga room were excellent for those early mornings I couldn't sleep due to jet lag.",10.0,Positive
Ritz Carlton,View was stunning looking over Marina Bay. Room was well presented and very comfortable.  The breakfast was huge and delicious.,9.0,Positive
Ritz Carlton,NA,10.0,Positive
Ritz Carlton,"We opted for a Marina Bay view room  and it was fabulous!! The room was huge with every amenity and the bed was super comfy. The bathroom had a huge soaking tub, where even the bath crystals were supplied for that luxury experience. Free bottled water was also included in the room. The staff were extremely friendly and helpful. They helped us with transportation and gave us tips on where to visit. The breakfast included in our room price was out of this world! Everything from pancakes, waffles, cereals, breads and every hot dish you could imagine. We would definitely stay again if in Singapore, as the location is close to the Marina with lots of attractions and dining options.",9.0,Positive
Ritz Carlton,View was excellent; as was the breakfast; as was the hospitality of the staff; room was superb too!,10.0,Positive
Ritz Carlton,"Amazing staff, with absolutely ama",10.0,Positive
Ritz Carlton,Service and staff.. exceptional service from getting out of the car to getting back in. I am glad I stayed here.,10.0,Positive
Ritz Carlton,"the staff were impressive! specially Luis from the swim pool staff and a local chef that made me some of best omelet I have ever eaten his name was with the letter D abut I cannot remember the rest! I am sorry.
clean and smart and extremely approachable.",9.0,Positive
Ritz Carlton,"the comfort
the luxury
the prestige",9.0,Positive
Ritz Carlton,"Very nice place, good location and personal",8.0,Positive
Ritz Carlton,"Location,  cleaned rooms, bathroom design with marina bay view",9.0,Positive
Ritz Carlton,"great breakfast, pool and amazing view with a solid location",8.0,Positive
Ritz Carlton,nice,10.0,Positive
Ritz Carlton,"Great hotel, made our holiday.
Staff were super helpful and always made us feel very welcome, especially Dave, Jamie and Nikko by the pool.
Will definitely come back.",10.0,Positive
Ritz Carlton,"Personalised experience made for a memorable stay. The staff, room and hotel facilities are excellent.",10.0,Positive
Ritz Carlton,"We have 18 months baby, the front desk really understanding and they let us for late check out. Really lovely attitude.",10.0,Positive
Ritz Carlton,The service is more than excellent. The staff went above and beyond to make our stay special. Fahzil in the club room and Azman in the gym (sorry if I spelt names wrong) were so lovely in making us feel welcome and paid special attention to our needs from start to finish. We have stayed in Singapore many times and would have to say that this is by far the best hotel we have been to. We can highly recommend and would not hesitate to stay again. Thank you for making us feel so welcome.,10.0,Positive
Ritz Carlton,we booked a club room and the facilities in the lounge were excellent and included. bedrooms great. bathroom with a superb view. it was great.,9.0,Positive
Ritz Carlton,"This property was exceptional and exceeded our expectations. You get the FULL five star service here. Staff are so welcoming and running to your aid from the moment you check in. The highlight was definitely the room size, it’s so much more spacious then most hotel rooms and then there was the divine bathroom with the spectacular view above the bathtub. May I suggest booking a room on a higher floor, our view of the City was nothing short of amazing and gave our stay that extra ounce of Wow factor! It made our stay here even more memorable. Our whole experience here was very special, it was a decadent spend for us but worth every cent.",10.0,Positive
Ritz Carlton,"Spacious room, very clean and nice breakfast. Good service and very friendly personel.",10.0,Positive
Ritz Carlton,"Amazing staff, with absolutely ama",10.0,Positive
Ritz Carlton,Service and staff.. exceptional service from getting out of the car to getting back in. I am glad I stayed here.,10.0,Positive
Ritz Carlton,"the staff were impressive! specially Luis from the swim pool staff and a local chef that made me some of best omelet I have ever eaten his name was with the letter D abut I cannot remember the rest! I am sorry.
clean and smart and extremely approachable.",9.0,Positive
Ritz Carlton,"the comfort
the luxury
the prestige",9.0,Positive
Ritz Carlton,"Very nice place, good location and personal",8.0,Positive
Ritz Carlton,"Location,  cleaned rooms, bathroom design with marina bay view",9.0,Positive
Ritz Carlton,"great breakfast, pool and amazing view with a solid location",8.0,Positive
Ritz Carlton,nice,10.0,Positive
Ritz Carlton,"Great hotel, made our holiday.
Staff were super helpful and always made us feel very welcome, especially Dave, Jamie and Nikko by the pool.
Will definitely come back.",10.0,Positive
Ritz Carlton,"Personalised experience made for a memorable stay. The staff, room and hotel facilities are excellent.",10.0,Positive
Ritz Carlton,"We have 18 months baby, the front desk really understanding and they let us for late check out. Really lovely attitude.",10.0,Positive
Ritz Carlton,The service is more than excellent. The staff went above and beyond to make our stay special. Fahzil in the club room and Azman in the gym (sorry if I spelt names wrong) were so lovely in making us feel welcome and paid special attention to our needs from start to finish. We have stayed in Singapore many times and would have to say that this is by far the best hotel we have been to. We can highly recommend and would not hesitate to stay again. Thank you for making us feel so welcome.,10.0,Positive
Ritz Carlton,we booked a club room and the facilities in the lounge were excellent and included. bedrooms great. bathroom with a superb view. it was great.,9.0,Positive
Ritz Carlton,"This property was exceptional and exceeded our expectations. You get the FULL five star service here. Staff are so welcoming and running to your aid from the moment you check in. The highlight was definitely the room size, it’s so much more spacious then most hotel rooms and then there was the divine bathroom with the spectacular view above the bathtub. May I suggest booking a room on a higher floor, our view of the City was nothing short of amazing and gave our stay that extra ounce of Wow factor! It made our stay here even more memorable. Our whole experience here was very special, it was a decadent spend for us but worth every cent.",10.0,Positive
Ritz Carlton,"Spacious room, very clean and nice breakfast. Good service and very friendly personel.",10.0,Positive
Ritz Carlton,Great Breakfast,10.0,Positive
Ritz Carlton,beautiful.  best service.,8.0,Positive
Ritz Carlton,Colony had superb food especially the sea food buffet and th soft shell crabs. It was perhaps a little pricey co[ared to a similar offering at the Mandarin Oriental,9.0,Positive
Ritz Carlton,"We didn't tell them about my kids, but they observed it and gave us some toys for the children. The children were thrilled.",10.0,Positive
Ritz Carlton,view/breakfast,8.0,Positive
Ritz Carlton,i like everything about the ritz,10.0,Positive
